arm,L,sample_idx,ca_esmfold,bb3o_esmfold,wall_s
baseline,200,20,6.963660717010498,6.963660717010498,57.24364614486694
baseline,200,21,1.8038511276245117,1.8038511276245117,59.32569336891174
baseline,200,22,5.928366661071777,5.928366661071777,60.097320556640625
baseline,200,23,1.758095145225525,1.758095145225525,60.115535259246826
baseline,200,24,7.793264389038086,7.793264389038086,57.01590275764465
baseline,200,25,7.41599178314209,7.41599178314209,57.58523225784302
baseline,200,26,4.882878303527832,4.882878303527832,59.31299090385437
baseline,200,27,2.3062586784362793,2.3062586784362793,60.530741691589355
baseline,200,28,1.3807278871536255,1.3807278871536255,58.42963123321533
baseline,200,29,1.810388445854187,1.810388445854187,57.499956369400024
baseline,200,30,1.207786202430725,1.207786202430725,58.21247148513794
baseline,200,31,1.0293174982070923,1.0293174982070923,57.45123291015625
baseline,200,32,1.023328185081482,1.023328185081482,57.9453661441803
baseline,200,33,1.4157510995864868,1.4157510995864868,60.5038640499115
baseline,200,34,1.7504944801330566,1.7504944801330566,59.01772713661194
baseline,200,35,0.9187237024307251,0.9187237024307251,58.51999258995056
hybrid,50,0,0.7865411639213562,0.7865411639213562,11.54945707321167
hybrid,50,1,2.4801955223083496,2.4801955223083496,11.411100625991821
hybrid,50,2,1.8243379592895508,1.8243379592895508,11.706564664840698
hybrid,50,3,2.8997926712036133,2.8997926712036133,11.077262163162231
hybrid,50,4,0.56361323595047,0.56361323595047,10.664095163345337
hybrid,50,5,0.9644988775253296,0.9644988775253296,11.499035835266113
hybrid,50,6,11.835407257080078,11.835407257080078,12.094947576522827
hybrid,50,7,0.8758628964424133,0.8758628964424133,11.472082614898682
hybrid,50,8,0.5794162154197693,0.5794162154197693,10.503448963165283
hybrid,50,9,4.039191722869873,4.039191722869873,9.97159218788147
hybrid,50,10,1.3129289150238037,1.3129289150238037,9.950326681137085
hybrid,50,11,0.670833170413971,0.670833170413971,11.66905927658081
hybrid,50,12,0.9102590084075928,0.9102590084075928,10.848618030548096
hybrid,50,13,0.5884028077125549,0.5884028077125549,10.042015314102173
hybrid,50,14,0.8791016936302185,0.8791016936302185,11.039169311523438
hybrid,50,15,0.8642283082008362,0.8642283082008362,11.323957681655884
